回,受賞年,著者名,タイトル
1,2004,小川洋子,博士の愛した数式
2,2005,恩田陸,夜のピクニック
3,2006,リリー・フランキー,東京タワー 〜オカンとボクと、時々、オトン〜
4,2007,佐藤多佳子,一瞬の風になれ
5,2008,伊坂幸太郎,ゴールデンスランバー
6,2009,湊かなえ,告白
7,2010,冲方丁,天地明察
8,2011,東川篤哉,謎解きはディナーのあとで
9,2012,三浦しをん,舟を編む
10,2013,百田尚樹,海賊とよばれた男
11,2014,和田竜,村上海賊の娘
12,2015,上橋菜穂子,鹿の王
13,2016,宮下奈都,羊と鋼の森
14,2017,恩田陸,蜜蜂と遠雷
