回,受賞年,著者名,タイトル
117,1997年上半期,目取真俊,水滴
118,1997年下半期,-,該当作品なし
119,1998年上半期,藤沢周,ブエノスアイレス午前零時
119,1998年上半期,花村萬月,ゲルマニウムの夜
120,1998年下半期,平野啓一郎,日蝕
121,1999年上半期,-,該当作品なし
122,1999年下半期,藤野千夜,夏の約束
122,1999年下半期,玄月,蔭の棲みか
123,2000年上半期,松浦寿輝,花腐し
123,2000年上半期,町田康,きれぎれ
124,2000年下半期,堀江敏幸,熊の敷石
124,2000年下半期,青来有一,聖水
125,2001年上半期,玄侑宗久,中陰の花
126,2001年下半期,長嶋有,猛スピードで母は
127,2002年上半期,吉田修一,パーク・ライフ
128,2002年下半期,大道珠貴,しょっぱいドライブ
129,2003年上半期,吉村萬壱,ハリガネムシ
130,2003年下半期,綿矢りさ,蹴りたい背中
130,2003年下半期,金原ひとみ,蛇にピアス
131,2004年上半期,モブ・ノリオ,介護入門
132,2004年下半期,阿部和重,グランド･フィナーレ
133,2005年上半期,中村文則,土の中の子供
134,2005年下半期,絲山秋子,沖で待つ
135,2006年上半期,伊藤たかみ,八月の路上に捨てる
136,2006年下半期,青山七恵,ひとり日和
137,2007年上半期,諏訪哲史,アサッテの人
138,2007年下半期,川上未映子,乳と卵
139,2008年上半期,楊逸,時が滲む朝
140,2008年下半期,津村記久子,ポトスライムの舟
141,2009年上半期,磯崎憲一郎,終の住処
142,2009年下半期,-,該当作品なし
143,2010年上半期,赤染晶子,乙女の密告
144,2010年下半期,西村賢太,苦役列車
144,2010年下半期,朝吹真理子,きことわ
145,2011年上半期,-,該当作品なし
146,2011年下半期,田中慎弥,共喰い
146,2011年下半期,円城塔,道化師の蝶
147,2012年上半期,鹿島田真希,冥土めぐり
148,2012年下半期,黒田夏子,abさんご
149,2013年上半期,藤野可織,爪と目
150,2013年下半期,小山田浩子,穴
151,2014年上半期,柴崎友香,春の庭
152,2014年下半期,小野正嗣,九年前の祈り
153,2015年上半期,又吉直樹,火花
153,2015年上半期,羽田圭介,スクラップ・アンド・ビルド
154,2015年下半期,本谷有希子,異類婚姻譚
154,2015年下半期,滝口悠生,死んでいない者
155,2016年上半期,村田沙耶香,コンビニ人間
156,2016年下半期,山下澄人,しんせかい
